Identifier,Label,Description,Created,Modified,History notes,Type
88,Flooding - flood risk management strategy,"A local authority must develop, consult upon, maintain, apply and monitor a strategy for local flood risk management in its area (a local flood risk management strategy) and have regard to Guidance from the Secretary of State in doing so.",2015-07-24,2017-11-27,,duty
89,Flooding - guidance on flood risk management strategy,A local authority may issue guidance in respect of its local flood risk management strategy.,2015-07-24,2015-07-24,,power
90,Flooding and coastal erosion - co-operation and arrangements,A local authority must cooperate with other relevant authorities in the exercise of their flood and coastal erosion risk management functions,2015-07-24,2015-07-24,,duty
91,Flooding and coastal erosion - sharing of information,A relevant authority may share information with another relevant authority for the purpose of discharging its duty in the exercise of their flood and coastal erosion risk management functions.,2015-07-24,2015-07-24,,power
92,Flooding - delegation of flood risk management function,A risk management authority may delegate its flood risk management function to another relevant authority.,2015-07-24,2015-07-24,,power
93,Coastal defence - delegation of coastal erosion risk management function,"A coast protection authority may, with the appropriate consent, arrange for a person to exercise a coastal erosion risk management function on its behalf.",2015-07-24,2015-07-24,,power
94,Coastal erosion - risk management function exercised on behalf of Environment Agency ,A local authority may undertake coastal erosion risk management function on behalf of the Environment Agency if delegation is agreed.,2015-07-24,2015-07-24,,power
95,Flooding and coastal erosion - request for information,A local authority may request any person to provide information in respect of flood or coastal erosion risk management functions.,2015-07-24,2015-07-24,,power
96,Flooding and coastal erosion - enforcement notice for failure to provide information,A local authority may issue enforcement notice in respect of failure to provide information requested under section 14.,2015-07-24,2015-07-24,,power
97,Flooding - investigation of flooding incident,"A local authority must to the extent it considers necessary or appropriate in case of flooding in its area, carry out an investigation, publish its results and issue notifications.",2015-07-24,2015-07-24,,duty
98,Flooding - register of structures or features with significant effect on flood risk,"A lead local flood authority must establish and maintain (a)a register of structures or features which, in the opinion of the authority, are likely to have a significant effect on a flood risk in its area, and  (b)a record of information about each of those structures or features, including information about ownership and state of repair.    The authority must comply with guidance from the Secretary of State about the content of the register.    The register must be available for inspection at all reasonable times.",2015-07-24,2015-07-24,,duty
99,Flooding and coastal erosion - sustainable development,A local authority must have regard to achieving sustainable development when having regard to flood risk or coastal erosion functions..  The local authority must also comply with any guidance from the Minister.,2015-07-24,2015-07-24,,duty
100,Flooding and coastal erosion - designation of features which may affect the flood or coastal erosion risk,A local authority may designate a structure or a natural or man-made feature of the environment  where the designating authority thinks the existence or location of the structure or feature affects a flood risk or a coastal erosion risk.,2015-07-24,2015-07-24,,power
101,Child protection - duty of care,"A local authority must comply with the statutory duty of care in respect of relevant duty of in respect of the care, supervision or protection of children.",2015-07-24,2015-07-24,,duty
102,Policy - power of general competence,A local authority may do anything that an individual can do providing it is not otherwise prevented from doing so by statute.,2015-07-24,2015-07-24,,power
103,Disability - National Autism Strategy,A local authority must comply with National Autism Strategy guidance issued by Secretary of State. ,2015-07-24,2015-07-24,,duty
104,Housing - settlement payments ,An authority which is a  local housing authority that keeps a Housing Revenue Account must comply with provisions regarding settlement payments and further payments to be made to the Secretary of State.,2015-07-24,2015-07-24,,duty
105,Housing - limits on indebtedness,A local housing authority may not hold housing debt in contravention of  any determination by the Secretary of State,2015-07-24,2017-11-28,,duty
106,Housing - provision of housing finance information,A local housing authority must provide Secretary of State with information which is requested regarding housing finance,2015-07-24,2015-07-24,,duty
107,Housing - tenancy strategy,"A local housing authority must consult upon, prepare, publish, review and have regard to a tenancy strategy.",2015-07-24,2015-07-24,,duty
108,Marine planning - delegation of functions relating to marine plans,A local authority must comply with directions from a Marine Planning Authority. ,2015-07-24,2015-07-24,,duty
109,Marine policy - decisions in accordance with marine policy documents,"A public authority must take any authorisation or enforcement decision in accordance with the appropriate marine policy documents, unless relevant considerations indicate otherwise.",2015-07-24,2015-07-24,,duty
110,Marine licensing - delegation of functions,A local authority must comply with any delegation of functions order in respect of marine licensing.,2015-07-24,2015-07-24,,duty
111,Marine Conservation Zones - furthering conservation objectives,"A local authority must exercise its functions in a way which the authority considers best furthers the conservation objectives stated for the Marine Conservation Zone or where it is not possible to exercise its functions in a manner which furthers those objectives, exercise them in the manner which the authority considers least hinders the achievement of those objectives.      If an authority considers that any of its functions is such that the exercise of the function would or might significantly hinder the achievement of the conservation objectives for an MCZ, it must inform the appropriate statutory conservation body of that fact.",2015-07-24,2015-07-24,,duty
112,Marine Conservation Zones - applications which may hinder MCZ objectives,"Where the authority receives an application for authorisation of the doing of an act where there is or may be a significant risk of the act hindering the achievement of the conservation objectives stated for the MCZ, the authority must notify the appropriate statutory conservation body of that fact.",2015-07-24,2015-07-24,,duty
113,Marine Conservation Zones - failure to comply,A local authority must provide the appropriate statutory conservation body with an explanation for alleged failure to comply with duties.,2015-07-24,2015-07-24,,duty
114,Members - promote and maintain high standards of conduct,"A relevant authority must promote and maintain high standards of conduct by members and co-opted members of the authority.    In discharging its duty as above a relevant authority must, in particular, adopt a code dealing with the conduct that is expected of members and co-opted members of the authority when they are acting in that capacity.",2015-07-24,2015-07-24,,duty
115,Members - register of interests,The monitoring officer of a relevant authority must establish and maintain a register of interests of members and co-opted members of the authority.,2015-07-24,2015-07-24,,duty
116,Members - dispensation where pecuniary interest,An authority may in certain circumstances issue a dispensation allowing a member to take part in a debate or to vote where he or she has a pecuniary interest as per section 31(4) of the Localism Act 2011.,2015-07-24,2015-07-24,,power
117,Regulatory enforcement - responsibility of primary authority,A local authority must if nominated as a Primary Authority by the Secretary of State give advice and guidance to regulated persons and to other local authorities regarding that function.,2015-07-24,2017-03-21,,duty
118,Regulatory enforcement - notification to primary authority,A local authority must notify the Primary Authority as to its intention to take enforcement action against a regulated person and follow the Primary Authority's directions.,2015-07-24,2017-03-21,,duty
119,Regulatory enforcement - inspection plan,A local authority which is a Primary Authority may draw up inspection plan in respect of a regulated activity.,2015-07-24,2017-03-21,,power
120,Regulatory enforcement - compliance with inspection plan,A local authority must comply with an inspection plan in respect of a regulated activity which is drawn up by a Primary Authority.,2015-07-24,2017-03-21,,duty
121,Regulatory enforcement - charging of fees and costs,The primary authority may charge the regulated person such fees as it considers to represent the costs reasonably incurred by it in the exercise of its functions.,2015-07-24,2017-03-21,,power
122,Regulatory enforcement - LBRO guidance,"A local authority must have regard to any guidance given to it by LBRO regarding regulatory enforcement, notification of inspection plans and charging of fees.",2015-07-24,2017-03-21,,duty
123,Regulatory enforcement - fixed monetary penalty,"A local authority may, where deemed to be the Regulator and where authorised by an SI to do so issue a fixed monetary penalty in relation to an offence.",2015-07-24,2015-07-24,,power
124,Regulatory enforcement - discretionary requirements in relation to an offence,"A local authority may, where deemed to be the Regulator and where authorised by an SI to do so impose discretionary requirements in relation to an offence.    Discretionary requirements may be a monetary penalty, a requirement to take such steps as a regulator may specify, within such period as it may specify, to secure that the offence does not continue or recur or a requirement to take such steps as a regulator may specify, within such period as it may specify, to secure that the position is, so far as possible, restored to what it would have been if the offence had not been committed.",2015-07-24,2015-07-24,,power
125,Regulatory enforcement - stop notice,"A local authority may, where deemed to be the Regulator and where authorised by an SI to do so issue a stop notice.  A stop notice is a notice prohibiting a person from carrying on an activity specified in the notice until the person has taken the steps specified in the notice.",2015-07-24,2015-07-24,,power
126,Regulatory enforcement - enforcement undertaking,"A local authority may, where deemed to be the Regulator and where authorised by an SI to do so may accept an enforcement undertaking from a person in a case where the regulator has reasonable grounds to suspect that the person has committed a relevant offence.",2015-07-24,2015-07-24,,power
127,Regulatory enforcement - guidance as to use of civil sanctions,"A local authority must, where deemed to be the Regulator publish guidance in respect of its use of civil sanctions and enforcement as part of the regulatory regime.",2015-07-24,2015-07-24,,duty
128,Regulatory enforcement - publication of enforcement action,"A local authority must, where deemed to be the Regulator publish reports in respect of its use of civil sanctions and enforcement as part of the regulatory regime.",2015-07-24,2015-07-24,,duty
129,Regulatory enforcement - payment of penalties into consolidated fund,"A local authority must, where deemed to be the Regulator pay income from fines etc. into the relevant consolidation fund.",2015-07-24,2015-07-24,,duty
130,Regulatory enforcement - disclosure of information,"A local authority may, where deemed to be the Regulator share information relating to its function",2015-07-24,2015-07-24,,power
131,Regulatory enforcement - duty not to impose or maintain unnecessary burdens,Any person exercising a regulatory function to which this section applies must keep that function under review and secure that in exercising the function the person does not,2015-07-24,2015-07-24,,duty
132,Transport - new integrated transport authority,Any two or more local authorities for an area with no integrated transport authority may undertake review of transport effectiveness in area.  With an incidental duty to prepare and publish a scheme.,2015-07-24,2015-07-24,,power
133,Transport -  review of the effectiveness and efficiency of transport,The Secretary of State may direct any two or more local authorities for an area with no integrated transport authority may undertake review of transport effectiveness in area and to prepare and publish a scheme for the establishment of an ITA for any area.,2015-07-24,2015-07-24,,duty
134,Transport - authorities review of arrangements,Any one or more local authorities for an area with an integrated transport authority may undertake review related to one or more integrated transport areas or proposed integrated transport areas.  With an incidental duty to prepare and publish a scheme.,2015-07-24,2015-07-24,,power
135,Transport - review directed by Secretary of State,The Secretary of State may direct any one or more local authorities for an area with an integrated transport authority may undertake review of transport effectiveness in area and to prepare and publish a scheme.,2015-07-24,2015-07-24,,duty
136,Transport - delegation of functions ,Duty to comply with the delegation of functions by the Secretary of State in respect of an Integrated Transport Area including the conferral of a power to direct. ,2015-07-24,2015-07-24,,duty
137,Transport - regard to guidance issued by Secretary of State,A local authority must have regard to the Secretary of State's guidance in respect of Integrated Transport Area.,2015-07-24,2017-11-28,,duty
138,Animal welfare - prosecutions,A local authority may prosecute proceedings for an offence under the Act or Regulations made under the Act.,2015-07-24,2015-07-24,,power
139,Animal welfare - appointment of inspectors,A local authority may appoint animal welfare inspectors and shall have regard to the Secretary of State's guidance in so doing.,2015-07-24,2015-07-24,,power
140,Policy - proposals for single tier of local government,A local authority may respond to an invitation from the Secretary of State to bring forward a proposal regarding the establishment of a single tier of local government for the area,2015-07-24,2015-07-24,,power
141,Policy - provision of information to Boundary Committee,"A local authority must if requested by the Boundary Committee to do so provide the Boundary Committee, by such date as the Boundary Committee may specify, with any information that the Boundary Committee may reasonably require in connection with any of their functions.",2015-07-24,2015-07-24,,duty
142,Staff - establishment of staff commission,A local authority must comply with Secretary of State's directions regarding co-operation with and the payment of expenses to a staff commission.,2015-07-24,2015-07-24,,duty
143,Elections - resolution for whole-council elections,A district council that is subject to a scheme for elections by halves or by thirds may resolve that it is to be subject instead to the scheme for whole-council elections.  A council must comply with requirements in passing a resolution for whole-council elections.,2015-07-24,2015-07-24,,power
144,Elections - publicity of explanatory document for whole council elections,"A district council adopting a scheme for whole council elections must, produce and publicise an explanatory document.",2015-07-24,2015-07-24,,duty
145,Elections - notice to Electoral Commission on passing resolution for whole council elections,A district council passing a resolution for whole council elections must give notice of that resolution to the Local Government Boundary Commission for England.,2015-07-24,2015-07-24,,duty
146,Elections - resolution for elections by halves,"A non-metropolitan district council that was formerly subject to a scheme for elections by halves, but is for the time being subject to a scheme for whole-council elections, may resolve that it is to revert to being subject to a scheme for elections by halves.    The council must comply with requirements when passing a resolution for elections by halves.",2015-07-24,2015-07-24,,power
147,Elections - resolution for elections by thirds,"A district council that was formerly subject to a scheme for elections by thirds, but is for the time being subject to a scheme for whole-council elections,may resolve that it is to revert to being subject to a scheme for elections by thirds.  A council must comply with requirements in passing a resolution for elections by thirds.",2015-07-24,2015-07-24,,power
148,Elections - publicity of explanatory document for elections by halves or thirds,"A district council adopting a scheme for elections by halves or by thirds must, produce make available and publicise an explanatory document.",2015-07-24,2015-07-24,,duty
149,Elections - notice to Electoral Commission on passing resolution for election by halves or thirds,A district council adopting a scheme for elections by halves or by thirds must inform the Local Government Boundary Commission for England that it has passed that resolution.,2015-07-24,2015-07-24,,duty
150,Elections - order by Electoral Commission for election by halves or thirds,A council must produce an explanatory document and make the document available for inspection as soon as practicable after the Electoral Commission have made an order for elections by halves or for elections by thirds in relation to it.,2015-07-24,2015-07-24,,duty
151,Elections -  alteration to years of ordinary elections of parish councillors,A district council may pass a resolution to alter the years in which parish councillors are elected.,2015-07-24,2015-07-24,,power
152,Elections - change of name of electoral area,A local authority may pass a resolution to change the name of an electoral area.,2015-07-24,2015-07-24,,power
153,Elections - notification of change of name of electoral area,"A local authority must obtain the approval of the Electoral Commission before changing the names of certain electoral areas and must inform the Electoral Commision, the Boundary Commission for England, Office of National Statistics and the Director General of the Ordnance Survey once the resolution has been passed.      In a two tier area a county must inform the district or a district inform the county within whose area the electoral area lies.",2015-07-24,2015-07-24,,duty
154,Policy - structural and boundary changes,A local authority may make agreements about incidental matters regarding the subject matter of orders issued under sections 7 and 10 of the Local Government and Public Involvement in Health Act 2007.,2015-07-24,2015-07-24,,power
155,Policy - review by Boundary Committee of local government areas,A local authority may request the Boundary Committee to conduct a review of local government areas.,2015-07-24,2015-07-24,,power
156,Carers - co-operation between authorities,Local authorities must co-operate in in planning service provision to carers.,2015-07-24,2015-07-24,,duty
157,Child welfare - safeguarding targets,A local authority must comply with regulations regarding targets for safeguarding and promoting child welfare.,2015-07-24,2015-07-24,,duty
158,Child welfare - co-operation to improve well-being,Local authorities must co-operate with each other and prescribed others to improve the wellbeing of children in their area and have regard to guidance issued by the Secretary of State when so doing.,2015-07-24,2015-07-24,,duty
159,Child welfare - arrangements to safeguard and promote welfare in England,A local authority must when exercising its having regard to the need to safeguard and promote the welfare of children and have regard to guidance from the Secretary of State when so doing.,2015-07-24,2015-07-24,,duty
160,Child welfare - information database,A local authority must comply with Regulations with regard to setting up and operating information databases containing required information about persons to whom arrangements under the Children Act 2004 relate. ,2015-07-24,2015-07-24,,duty
161,Child welfare - establishment of Children's Trust Board,A local authority must establish a Children's Trust Board for its area. ,2015-07-24,2015-07-24,,duty
162,Child welfare - funding of Children's Trust Board,"The establishing authority and any of their relevant partners represented on a Children's Trust Board may make payments towards expenditure incurred by, or for purposes connected with, the Board and may provide staff, goods, services, accommodation or other resources for purposes connected with the functions of the Board.",2015-07-24,2015-07-24,,power
163,Child welfare - establishment of Local Safeguarding Children Board,A local authority must establish a Local Safeguarding Children Board for its area in accordance with regulations. ,2015-07-24,2017-12-21,,duty
164,Child welfare - funding of Local Safeguarding Children Board,"A local authority may make payments towards expenditure incurred by, or for purposes connected with, a Local Safeguarding Children Board and may provide staff, goods, services, accommodation or other resources for purposes connected with a Local Safeguarding Children Board.",2015-07-24,2018-01-29,,power
165,Child welfare - guidance with regard to  Local Safeguarding Children Board,A local authority must comply with regulations and have regard to guidance from the Secretary of State when exercising its functions with regard to a Local Safeguarding Children Board. ,2015-07-24,2018-01-29,,duty
166,Child welfare - appointment of Director of Children's Services,A local authority must appoint a Director of Children's Services and have regard to the guidance of the Secretary of State. ,2015-07-24,2015-07-24,,duty
167,Child welfare - designation of lead member for children's services in England,A local authority must designate one of their Members as a Lead Member for Children's Services and have regard to the guidance of the Secretary of State. ,2015-07-24,2015-07-24,,duty
168,Child welfare - co-operation in assessments of children's services,Each person or body with functions under any enactment of conducting assessments of children's services must for the purposes of those assessments co-operate with other persons or bodies with such functions.,2015-07-24,2015-07-24,,duty
169,Child welfare - delegation in assessments of children's services,A person or body with functions under any enactment of conducting assessments of children's services may delegate any of those functions to any other person or body with such functions.,2015-07-24,2015-07-24,,power
170,Child welfare - co-operation for wellbeing,Local authorities must co-operate with each other and prescribed others to improve the wellbeing of children in their area and have regard to guidance issued by the Assembly when so doing.,2015-07-24,2015-07-24,,duty
